class,n,mean,std,min,max,p5,p95
down_by_elevator,91,12.593772893772895,5.379155064552055,2.1333333333333333,27.95,6.15,24.258333333333333
going_down,468,4.267058404558405,1.0716266285264076,0.3333333333333333,7.783333333333333,2.75,6.104999999999999
going_up,436,5.165405198776758,1.3634758245349345,0.85,15.0,3.3375,7.216666666666667
running,71,15.47347417840376,10.268172400963376,6.0,58.85,6.741666666666667,34.20833333333333
sitting,340,4.059754901960785,3.332048346251449,1.0,40.983333333333334,1.5491666666666668,8.970833333333346
sitting_down,268,1.1305970149253732,0.2746865696872444,0.6333333333333333,2.2,0.8,1.6774999999999995
standing,802,4.6269534497090605,4.704338192111962,0.36666666666666664,38.516666666666666,1.2508333333333335,13.064166666666663
standing_up,278,1.2351918465227818,0.319861991819002,0.18333333333333332,2.8,0.9,1.8333333333333333
up_by_elevator,108,13.75679012345679,8.059276610895749,0.43333333333333335,56.75,5.480833333333334,26.28416666666666
walking,959,5.473861661452903,6.153228349092266,0.4166666666666667,95.45,2.216666666666667,14.204999999999995
